rx,ry,rz
66.139954,-35.237257,62.62578
44.576542,21.132161,122.36325
17.329893,62.270253,123.84611
27.731119,-85.652354,-15.954348
46.62856,42.162045,121.78059
-90.691816,19.138895,-66.634891
-28.394906,57.817961,89.830932
66.203082,37.438438,65.010982
-2.4994069,-84.18529,-63.933174
-46.891201,-46.326041,80.287248
-113.4562,50.761139,7.4050923
-47.210003,-46.601059,103.1204
-11.96714,30.892874,135.67077
77.673682,49.115309,87.981646
-14.493646,82.75219,1.3379108
-55.531153,3.8250434,128.03068
51.268697,97.872002,-20.785335
41.21351,71.359809,102.64597
47.955314,-48.940709,-51.567515
-86.097834,-68.266285,26.76131
-12.385005,41.178193,128.49944
4.2745071,-42.215664,129.17253
101.02202,-17.587286,-28.225561
2.9374084,-26.695268,131.73144
-71.675507,-24.877099,-24.899548
21.988434,75.386286,-111.76474
-6.8482372,-60.673921,35.893536
64.111457,-71.669406,89.541806
13.118859,-106.6287,78.224698
68.4463,-107.77754,60.741383
-77.379882,96.016427,55.491248
-41.203345,-70.97917,106.72073
-16.296546,23.733019,-122.55104
53.591838,-24.075828,-107.96134
-43.625243,13.458069,121.2949
31.810284,-74.226935,114.85252
-85.56153,90.875641,-9.0180996
-127.41166,48.045244,-7.3544849
-10.971993,-25.961801,105.58072
-2.534095,109.18465,85.158607
41.124106,38.256693,27.335278
2.1725239,59.830449,117.84303
26.608499,-66.865815,-12.08934
-10.808573,-57.841826,125.76033
-127.16763,-4.2176348,-11.268131
114.6316,33.459142,15.551431
-5.5416803,-105.55931,-30.418842
-3.0401486,-86.289895,3.6669861
49.550373,117.227,-28.853847
-88.195279,3.2016572,99.11772
-28.090044,125.3821,36.130436
36.145316,57.776733,105.00754
-91.862862,48.337948,37.838979
-22.095741,100.50014,-77.500602
-0.42566975,30.526237,26.162864
-35.866272,-71.364916,102.58109
77.814284,7.9819323,-81.479207
-82.034423,106.90236,17.062659
-19.972273,-70.214982,72.481845
60.77929,-56.970358,-48.261692
70.910725,-22.252108,119.6626
82.095887,-92.331877,13.939931
21.166241,-16.530084,138.4397
-29.943391,-79.420896,107.06214
59.17809,-24.584265,-24.577041
-37.012927,-64.142006,70.237092
71.752657,107.42384,-54.23259
-32.371366,-4.9017037,-128.45286
21.019558,103.49314,-65.864249
118.22343,2.8134094,2.2002094
71.216732,105.68308,3.9838469
-1.1148808,14.813465,135.76857
95.06989,-82.59593,8.2539307
69.422733,-8.5231817,7.6857957
134.30877,-24.161047,12.665587
100.72657,78.330132,1.1530752
-131.92673,-1.0029585,50.821382
28.150628,-95.330904,16.541145
-82.843213,-114.95938,21.145529
-46.622927,75.715733,79.405689
42.244423,45.479385,101.50604
-122.8422,31.356298,-19.21358
-127.66567,-59.423604,-3.5557556
-20.074787,73.713977,-90.586873
